Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,157742.5151537288,6573.937119681388,159183.16006128833,,88304.38585433624,38072.80105734509,22494.826695331692,15549.428907789377,63650.48962785876,3523.868274425633,53017.84396473855,49326.0413518721,28635.49149555464,17662.794355905025,0.063,,0.114,0.263,0.445,0.644,0.158,2.838,0.189,0.203,0.35000000000000003,0.5670000000000001,0.343,0.157,investor 1
1.0,157487.44543464677,6318.867400599353,158768.50182926992,,88315.16825914191,38103.70557951878,22520.57933349231,15552.333359144053,63653.94299092412,3525.352268877203,53024.797853003714,49346.3563465732,28637.766583637233,17681.329971905005,0.063,,0.114,0.263,0.445,0.643,0.158,2.837,0.189,0.203,0.35000000000000003,0.5660000000000001,0.343,0.157,investor 1
361.0,174517.37982410262,23348.801790055208,29273.19813301228,,93478.28667133443,48671.89856479221,31143.250401028254,16770.703785311285,66891.31168908013,4087.9475730664435,55655.07541533883,57085.06360912233,30415.955923526915,23808.768635634944,4500.0,,0.114,7600.0,4800.0,2600.0,10500.0,600.0,8700.0,8900.0,4700.0,3700.0,13700.0,13700.0,
362.0,174300.94695178943,23132.368917742016,29217.958057539563,,93483.80536024863,48700.01553032083,31167.272105259788,16774.06859370898,66901.7731254019,4089.59013921513,55660.534887289934,57105.68898548502,30419.056232717157,23826.60884186045,4500.0,,0.114,7600.0,4800.0,2600.0,10500.0,600.0,8700.0,8900.0,4700.0,3700.0,13700.0,13700.0,
363.0,174618.83921028697,23450.261176239554,29299.09357158562,,93495.11017871716,48728.04663137736,31191.992996766614,16777.321574758946,66910.85954954945,4091.0847308473685,55669.105859667165,57126.604126043225,30426.44186863189,23844.42835392547,4500.0,,0.114,7600.0,4800.0,2600.0,10500.0,600.0,8700.0,8900.0,4700.0,3700.0,13700.0,13700.0,
364.0,175452.58954314547,24284.011509098054,29511.891335715743,,93510.86348738478,48755.76282216094,31214.66399687634,16780.657288276918,66921.80445363621,4092.4963579015384,55678.201310159864,57147.40042366109,30427.985977841792,23864.58556224621,4600.0,,0.114,7600.0,4900.0,2600.0,10500.0,600.0,8700.0,8900.0,4700.0,3700.0,13700.0,13700.0,
365.0,176046.70396445898,24878.125930411567,29663.526921946355,,93533.1778472172,48783.656900589456,31237.425737996735,16783.82197619547,66932.8595092154,4093.9781283272305,55686.645214356366,57168.182791574196,30438.084804644626,23880.79396218153,4600.0,,0.114,7600.0,4900.0,2600.0,10500.0,600.0,8700.0,8900.0,4700.0,3700.0,13700.0,13700.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,612287.9899458209,153562.6650254695,719243.3733504355,,27399.929566862942,69501.88422673862,88488.66263391414,134827.85408807438,48532.815785705374,61831.9699677087,24458.063682219286,40389.51249137995,111639.40337550393,47323.785034787696,0.014,,0.365,0.14400000000000002,0.114,0.075,0.20700000000000002,0.162,0.40900000000000003,0.248,0.09,0.212,0.054,0.054,
1.0,611744.0026169051,153018.67769655376,718342.1633819714,,27397.85022453927,69546.15365116387,88523.3944597797,134818.5476414036,48548.49472863255,61839.92318920755,24475.14538092768,40446.23614975504,111692.7877746842,47328.908761454084,0.014,,0.365,0.14400000000000002,0.113,0.075,0.20600000000000002,0.162,0.40900000000000003,0.248,0.09,0.212,0.054,0.054,
2.0,611711.3143332304,152985.989412879,718288.0095340161,,27397.279474126954,69587.6091469144,88558.84487203516,134807.1454974689,48563.32811105034,61847.54465831059,24495.16455409993,40502.340254038085,111739.89366933446,47333.64324190652,0.014,,0.365,0.14400000000000002,0.113,0.075,0.20600000000000002,0.162,0.40900000000000003,0.247,0.09,0.212,0.054,0.054,
3.0,613403.4142144412,154678.08929408982,721091.2683592238,,27395.752499065118,69632.97183621587,88592.09215932766,134794.17244019787,48582.368980026935,61854.92120147406,24518.55371105221,40559.07694293024,111789.95385230443,47344.99717202569,0.014,,0.366,0.14400000000000002,0.113,0.075,0.20600000000000002,0.162,0.40800000000000003,0.247,0.09,0.212,0.054,0.054,
4.0,614272.5288509876,155547.20393063617,722531.1084668138,,27393.279692730357,69677.01304818307,88625.0614201225,134787.2980369274,48597.77621873236,61862.41539991277,24538.755342385954,40616.682405858286,111839.04312665114,47357.41548373585,0.014,,0.366,0.14400000000000002,0.113,0.075,0.20600000000000002,0.162,0.40800000000000003,0.247,0.09,0.212,0.054,0.054,
364.0,614272.5288509876,155547.20393063617,722531.1084668138,,27393.279692730357,69677.01304818307,88625.0614201225,134787.2980369274,48597.77621873236,61862.41539991277,24538.755342385954,40616.682405858286,111839.04312665114,47357.41548373585,0.014,,0.366,0.14400000000000002,0.113,0.075,0.20600000000000002,0.162,0.40800000000000003,0.247,0.09,0.212,0.054,0.054,
724.0,614272.5288509876,155547.20393063617,722531.1084668138,,27393.279692730357,69677.01304818307,88625.0614201225,134787.2980369274,48597.77621873236,61862.41539991277,24538.755342385954,40616.682405858286,111839.04312665114,47357.41548373585,0.014,,0.366,0.14400000000000002,0.113,0.075,0.20600000000000002,0.162,0.40800000000000003,0.247,0.09,0.212,0.054,0.054,
1084.0,614272.5288509876,155547.20393063617,722531.1084668138,,27393.279692730357,69677.01304818307,88625.0614201225,134787.2980369274,48597.77621873236,61862.41539991277,24538.755342385954,40616.682405858286,111839.04312665114,47357.41548373585,0.014,,0.366,0.14400000000000002,0.113,0.075,0.20600000000000002,0.162,0.40800000000000003,0.247,0.09,0.212,0.054,0.054,
1444.0,614272.5288509876,155547.20393063617,722531.1084668138,,27393.279692730357,69677.01304818307,88625.0614201225,134787.2980369274,48597.77621873236,61862.41539991277,24538.755342385954,40616.682405858286,111839.04312665114,47357.41548373585,0.014,,0.366,0.14400000000000002,0.113,0.075,0.20600000000000002,0.162,0.40800000000000003,0.247,0.09,0.212,0.054,0.054,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,185138.6631434725,64479.44494580488,252568.59800649065,,62163.30819641023,69446.74762218854,212718.92209888203,56691.37265697033,53887.03534214607,6553.085719537255,85230.32981967984,7184.63119650692,76168.41557831597,69934.3240253325,0.04,,0.161,0.14400000000000002,0.048,0.177,0.186,1.526,0.11800000000000001,,0.132,0.14300000000000002,0.148,0.117,investor 3
1.0,184831.00612073837,64171.78792307073,252019.89291026475,,62183.12682313848,69516.36083880435,212861.44692815334,56704.467729905744,53901.39037521199,6561.619833070024,85253.72195679034,7188.5772386797735,76142.83779700234,69950.67498447193,0.04,,0.161,0.14400000000000002,0.047,0.177,0.186,1.5250000000000001,0.11800000000000001,,0.132,0.14300000000000002,0.148,0.117,investor 3
