Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,280935.4122822233,-57485.91474524868,172621.56745435638,,22076.60284607416,37083.62877655915,57262.3385145313,97181.72619755745,67848.86757052508,29620.815648562242,41250.4559192025,20490.457917337262,85894.6573026179,69560.20981391988,0.058,,0.453,0.2697,0.17470000000000002,0.10300000000000001,0.1474,0.3377,0.24250000000000002,0.48810000000000003,0.1165,0.1438,1.5049000000000001,0.1164,investor 4
1.0,281945.00194539636,-56476.32508207561,174024.33271033762,,22093.54379971131,37103.54099717579,57275.31833348879,97204.51769933896,67899.65078761392,29620.64232730763,41232.52879629845,20513.58832638558,86040.30459043746,69580.10551036726,0.0575,,0.45270000000000005,0.2696,0.1746,0.1029,0.14730000000000001,0.3377,0.2426,0.48750000000000004,0.1163,0.1438,1.5049000000000001,0.1162,investor 4
2.0,281492.755863096,-56928.571164375986,173395.96346831234,,22115.552511445494,37124.582663682064,57288.39822148422,97224.87299245839,67949.55491535063,29620.282117287217,41216.30127878495,20539.324623422803,86186.08597341462,69599.7889171065,0.0577,,0.45220000000000005,0.26940000000000003,0.1746,0.1029,0.1472,0.3377,0.2427,0.4869,0.11610000000000001,0.1437,1.5049000000000001,0.116,investor 4
3.0,282356.4483078218,-56064.87871965015,174596.01314939477,,22134.763252464778,37144.79713195604,57301.54799342537,97248.13949075983,67988.95407568995,29620.853189114576,41201.13072379105,20568.069078748944,86331.60990923793,69619.01406792385,0.057300000000000004,,0.45180000000000003,0.26930000000000004,0.1746,0.1029,0.1471,0.3376,0.24280000000000002,0.4862,0.1159,0.1437,1.5049000000000001,0.1158,investor 4
4.0,282189.21362143493,-56232.11340603704,174363.65042202576,,22157.19508203735,37163.250172658714,57314.45619684398,97279.62312152269,68050.17378235568,29621.738037659095,41187.466439616735,20593.080107699636,86476.79151556025,69638.96073289409,0.0574,,0.4514,0.2691,0.17450000000000002,0.1028,0.14700000000000002,0.3376,0.24280000000000002,0.4857,0.11570000000000001,0.1436,1.5049000000000001,0.11560000000000001,investor 4
5.0,281527.44706773385,-56893.879959738115,173444.16484985303,,22177.84773269917,37182.0229791354,57327.38524204846,97300.40890088915,68095.24192914016,29622.832160041693,41168.86242069737,20620.84390579712,86622.45769783463,69658.31630483284,0.0577,,0.451,0.269,0.17450000000000002,0.1028,0.1469,0.3376,0.24300000000000002,0.48500000000000004,0.1155,0.1436,1.5049000000000001,0.1154,investor 4
6.0,281588.24994021637,-56833.0770872556,173528.64685288214,,22198.57394434088,37201.1594183625,57341.02388674906,97322.26592484032,68148.56436283769,29623.345463237052,41154.1876637833,20648.310817067162,86767.99523142983,69676.83001213655,0.0577,,0.4505,0.26890000000000003,0.1744,0.1028,0.1468,0.3376,0.24300000000000002,0.4844,0.1153,0.1436,1.5049000000000001,0.1152,investor 4
7.0,281500.50201755826,-56920.82500991371,173406.7262927979,,22217.41583653373,37223.02627305287,57354.030696448404,97348.33645099883,68194.11479335798,29623.45666297224,41135.96820411473,20676.957664096437,86912.88737823346,69696.3544458353,0.0577,,0.4501,0.2687,0.1744,0.1028,0.1467,0.3376,0.2431,0.4837,0.11510000000000001,0.14350000000000002,1.5049000000000001,0.115,investor 4
8.0,280823.7624608928,-57597.56456657918,172466.4366166389,,22233.69430124473,37242.0182187626,57366.660428599906,97373.79527393647,68243.01798258969,29623.717375330896,41121.40452479464,20701.001032116714,87058.58662037793,69715.4890527354,0.058,,0.44980000000000003,0.2686,0.1744,0.1027,0.1466,0.3376,0.2432,0.48310000000000003,0.1149,0.14350000000000002,1.5049000000000001,0.1148,investor 4
9.0,280861.26144995255,-57560.06557751942,172518.5392489322,,22257.697630838327,37262.8093246493,57379.7751554649,97395.44733358057,68294.00351083309,29623.831971784744,41103.58408339864,20727.42234214564,87203.88001813431,69733.98400090716,0.058,,0.44930000000000003,0.2684,0.1743,0.1027,0.14650000000000002,0.3376,0.24330000000000002,0.48250000000000004,0.11470000000000001,0.14350000000000002,1.5049000000000001,0.11460000000000001,investor 4
10.0,281506.8247675375,-56914.502259934496,173415.5113807565,,22272.53144659142,37282.67780194276,57393.8568003636,97415.28876594969,68341.61020128735,29625.919229752744,41089.372609831706,20752.34760490372,87349.28111630799,69753.51742110898,0.0577,,0.449,0.26830000000000004,0.1743,0.1027,0.1464,0.3376,0.2434,0.48190000000000005,0.1145,0.1434,1.5049000000000001,0.1144,investor 4
11.0,281249.5412283448,-57171.78579912719,173058.03108665257,,22283.788733511028,37300.97896992136,57407.09931761468,97443.75562450777,68385.64263758101,29627.277088716797,41072.918920483484,20777.731500220478,87494.41783712625,69772.05597597605,0.057800000000000004,,0.44880000000000003,0.2681,0.17420000000000002,0.1027,0.1463,0.3376,0.24350000000000002,0.4813,0.1143,0.1434,1.5049000000000001,0.1142,investor 4
12.0,280648.6656543848,-57772.66137308715,172223.14993734518,,22298.489713586718,37319.30451032813,57420.450483353496,97470.30096800013,68422.02561133268,29629.352663520523,41058.08356281915,20803.717180254556,87640.67415892944,69790.16034597841,0.058100000000000006,,0.4485,0.268,0.17420000000000002,0.10260000000000001,0.1462,0.3376,0.2436,0.4807,0.11420000000000001,0.1433,1.5049000000000001,0.1142,investor 4
372.00000000000006,284349.26853363344,-54072.05849383853,20255.07377797869,,28399.924442010582,44529.938829756546,62594.90816990577,106410.48600623418,87705.31195550058,29702.372989240317,34262.49960000879,29834.970352988432,135312.63361271314,76348.12452733614,2310.0,,3240.0,5080.0,7140.0,0.10260000000000001,10010.0,3390.0,3910.0,3400.0,15450.0,8710.0,11190.0,11200.0,investor 9
373.00000000000006,284639.7107582564,-53781.61626921559,20301.15945413862,,28414.617122648076,44547.46366120455,62608.976277005815,106441.07639739875,87750.08350872,29702.084241038414,34242.33402833913,29863.01774469548,135427.2127278425,76365.73496041574,2310.0,,3240.0,5080.0,7140.0,0.10260000000000001,10020.0,3390.0,3910.0,3410.0,15460.0,8720.0,11190.0,11200.0,investor 9
