Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,326062.967985189,713060.1420585891,,1072445.6587137731,32784.3637153047,21732.267925591463,157025.88428048158,11929.944240297304,364447.5825777794,57450.052370381774,6487.783112148821,60764.775716227145,16656.60117048673,0.015,,0.01,0.306,0.461,0.064,0.839,0.028,0.17500000000000002,1.542,0.165,0.601,0.054,0.027,investor 1
1.0,326517.6423058221,714176.4232865887,,1072317.120480395,32774.04671863215,21757.266698112147,157210.13548835707,11935.939191972233,364655.50376443885,57489.642023492284,6494.202778346283,60740.977527345065,16661.517995541573,0.015,,0.01,0.306,0.46,0.064,0.838,0.028,0.17400000000000002,1.54,0.165,0.601,0.054,0.027,investor 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,177938.11222862932,412979.4279197507,,735469.1006469316,935655.6834194734,77046.01755597322,12260.1240050599,30810.447022853266,67596.49712284106,1062.1483131368582,26298.35478694097,1274.922739199131,42087.678153889145,0.025,,0.014,0.011,0.13,0.8160000000000001,0.325,0.148,9.415000000000001,0.381,7.844,0.23800000000000002,0.098,0.013000000000000001,investor 2
1.0,177733.16499968726,412443.42311195383,,735337.5953958177,935677.9436846875,77126.51176188486,12260.020864922662,30828.362259003206,67590.64819382879,1063.2430106954896,26316.21656669969,1275.0383346878832,42104.291074534965,0.025,,0.014,0.011,0.13,0.8160000000000001,0.325,0.148,9.406,0.38,7.843,0.23800000000000002,0.098,0.013000000000000001,investor 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,101771.56776701497,197276.16916627678,,22831.968868784024,24482.42634738981,314758.7668140527,18079.383354941754,18752.500855981652,5063.894392003658,39286.58852932806,7388.5257130863565,8417.67492351403,6811.253897048718,0.051000000000000004,,0.438,0.40900000000000003,0.032,0.554,0.534,1.975,0.255,1.354,1.188,1.469,0.263,0.254,investor 3
1.0,101946.2015088287,197698.16070881527,,22837.4712731734,24506.946281954046,314829.6349561878,18085.99605407073,18761.227357006763,5065.928886920263,39279.47213695929,7393.885525226946,8414.472485094964,6816.615562977099,0.051000000000000004,,0.438,0.40900000000000003,0.032,0.553,0.534,1.974,0.255,1.353,1.189,1.468,0.263,0.254,investor 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,361810.5033059715,795975.9955379646,,851548.2942813265,10165.885733512947,985530.220062533,1597.2258742780093,277073.1637777696,3204.9930501163867,155875.86278833688,62288.38945333279,30648.372282023272,202241.17496427993,0.013000000000000001,,0.012,0.984,0.011,6.261,0.037,3.121,0.065,0.161,0.327,0.05,0.048,0.011,investor 3
1.0,362449.76862883294,797566.0835091494,,852224.8065139477,10165.40002041927,986026.7685562121,1597.6524553390827,277249.4001331102,3208.7668894038666,155965.07320380103,62370.714553867954,30664.801034558313,202379.1732560776,0.013000000000000001,,0.012,0.984,0.011,6.26,0.037,3.117,0.065,0.161,0.327,0.05,0.048,0.011,investor 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,164477.47730433955,352100.2240799846,,39777.1262744808,84181.71867220574,72877.29866891638,1130211.3774982744,34976.81528568412,39973.939650765264,810051.042699129,43548.13585248844,17485.17616615232,267247.975271621,0.029,,0.252,0.11900000000000001,0.138,0.009000000000000001,0.28600000000000003,0.251,0.013000000000000001,0.23,0.5720000000000001,0.038,0.214,0.012,investor 4
1.0,164514.5522975242,352200.80701140076,,39797.33084321334,84187.40397335755,72866.35374751811,1130492.4984676847,34974.45686924626,39992.88814190021,810015.6974923888,43557.15637912791,17492.001463103352,267341.5503339159,0.029,,0.252,0.11900000000000001,0.138,0.009000000000000001,0.28600000000000003,0.251,0.013000000000000001,0.23,0.5720000000000001,0.038,0.214,0.012,investor 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,361102.90686788165,796945.4925722799,,598418.1896523647,1571.2732834252886,98721.23599791246,837052.0925909873,90855.97045202597,247237.8091273025,56962.4532819076,12619.358852319334,32567.82127778061,13703.991936193315,0.013000000000000001,,0.017,6.365,0.10200000000000001,0.012,0.111,0.041,0.176,0.793,0.308,0.73,0.083,0.016,investor 4
1.0,360689.46539273515,795818.4660115961,,598625.2120206958,1571.5425957444943,98763.3303134738,837218.5464484007,90906.27110639917,247209.0184563915,56979.01455061436,12629.032879814158,32596.44921293497,13714.51408908513,0.013000000000000001,,0.017,6.364,0.10200000000000001,0.012,0.111,0.041,0.176,0.792,0.307,0.73,0.083,0.016,investor 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,244618.48425652852,540081.2830026344,,70745.59122083108,73978.04208476805,346677.45886990905,3303.295443826594,54678.162019384064,7278.451274031904,335588.2015149824,4412.071482823405,48349.63217949881,10817.49004052467,0.019,,0.14200000000000002,0.136,0.029,3.028,0.183,1.374,0.03,2.267,0.20700000000000002,0.925,0.077,0.028999999999999998,investor 3
1.0,244143.24383159055,538884.4667051771,,70777.9078842224,74003.38483763325,346677.70203882316,3306.0273292297525,54686.64290430474,7284.433760792214,335613.4188025627,4409.73346011685,48384.88463823892,10823.115794258023,0.019,,0.14200000000000002,0.136,0.029,3.025,0.183,1.373,0.03,2.2680000000000002,0.20700000000000002,0.924,0.077,0.028999999999999998,investor 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,469455.4872916924,926858.0757719995,,238192.9859787808,861573.6073906518,7944.614502062229,19602.48703808899,19318.10293886728,6967.222012838194,232101.5069770769,138738.14200350037,2736.6766086885586,22284.946577816394,0.011,,0.042,0.012,1.2590000000000001,0.511,0.518,1.436,0.044,0.073,3.6550000000000002,0.449,0.07200000000000001,0.041,investor 2
1.0,470500.1876263782,929519.1456339397,,238367.01536252786,861779.3033093504,7948.396473776912,19610.152620666664,19344.918678474765,6963.747468463621,232214.09589309213,138820.52389513457,2736.351922115493,22297.7413565488,0.011,,0.042,0.012,1.2590000000000001,0.51,0.517,1.437,0.044,0.073,3.6550000000000002,0.449,0.07200000000000001,0.041,investor 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,291462.49793385155,677357.6935578486,,11711.4231789228,767.2036399693816,21403.729948547512,143010.8579557015,144409.10098534205,166100.9284274332,16175.983091445378,1176613.1840383206,49822.635218486525,17733.95078815261,0.015,,0.854,13.035,0.468,0.07,0.07,0.061,0.619,0.009000000000000001,0.201,0.5640000000000001,0.078,0.06,investor 8
1.0,291569.3660886406,677647.0064553736,,11724.288046807997,767.931189415456,21418.904719706665,143101.823503721,144569.40318034354,166241.7085074854,16189.462577162965,1176926.4980095085,49843.55004406622,17733.520016512975,0.015,,0.853,13.023,0.467,0.07,0.07,0.061,0.618,0.009000000000000001,0.201,0.5640000000000001,0.078,0.06,investor 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,178556.70789948624,293656.3778527908,,2084.449994491223,8102.600476418316,8906.401429659089,2166.1354724671146,19087.2984548692,1316274.7534282021,10426.212515619272,152950.49464584058,119576.23839846555,36292.441252692464,0.035,,4.798,1.235,1.123,4.617,0.524,0.008,0.96,0.066,0.084,0.276,0.192,0.065,investor 6
1.0,178734.14293013813,294043.21275122534,,2086.2792701111985,8105.148170995207,8912.423606976163,2167.9038606057024,19100.636307294255,1316529.9229865065,10430.780955761757,153063.27551232566,119571.44904864719,36296.023118265715,0.035,,4.7940000000000005,1.234,1.123,4.613,0.524,0.008,0.9590000000000001,0.066,0.084,0.276,0.192,0.065,investor 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,187753.62188820334,355220.47876215103,,237246.5823309169,387811.12421514204,175241.11940591608,110260.53671595275,817364.5640124847,27840.992839878945,1145915.7739846548,54507.54937837094,3948.7415795161796,712260.1425844388,0.029,,0.043000000000000003,0.026000000000000002,0.058,0.091,0.013000000000000001,0.36,0.009000000000000001,0.184,2.533,0.015,0.176,0.012,investor 7
1.0,186920.4816792373,353187.99836021836,,237194.07519899905,387934.24611326953,175262.26812305022,110352.47066760398,817547.8534602718,27858.48670027846,1146243.3625504414,54574.10995652051,3950.800498234679,712628.3566335455,0.029,,0.043000000000000003,0.026000000000000002,0.058,0.091,0.013000000000000001,0.359,0.009000000000000001,0.184,2.532,0.015,0.176,0.012,investor 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,172259.34796433005,323752.0704428357,,78042.7736359261,13982.023657274412,230011.22522991415,26612.46681650094,185869.89937959213,158288.07185700093,525919.7948722068,421955.2986130214,3079.3039071724975,3083.837910690949,0.031,,0.129,0.716,2.0,0.376,0.054,0.064,0.02,0.024,3.248,3.243,0.136,0.023,investor 7
1.0,172002.53339942452,323151.09099004633,,78038.15654101771,13988.843150283636,230096.6354847934,26629.921111904576,186105.39722456346,158405.57399428642,526196.7953826042,422284.86087711365,3080.9998950149757,3085.438241511011,0.031,,0.129,0.715,2.0,0.376,0.054,0.064,0.02,0.024,3.246,3.242,0.136,0.023,investor 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,115417.01321549603,310056.0128492,,9739.171744627667,11836.966843262388,37953.88903862506,74822.12736053791,20863.158423990575,123577.96460897136,142832.254487636,1094.6163316648501,6818.516211884872,39826.70677749737,0.033,,1.027,0.845,0.264,0.134,0.48,0.081,0.07100000000000001,9.136000000000001,1.467,0.252,0.23600000000000002,0.08,investor 7
1.0,115773.12581124931,311185.8067737679,,9741.55995499016,11854.424317676032,37981.399637880124,74789.32684133804,20864.159281413777,123593.51008033492,142934.5659994983,1093.955983715429,6821.284039191327,39823.05372946015,0.033,,1.027,0.844,0.264,0.134,0.48,0.081,0.07,9.142,1.466,0.252,0.23600000000000002,0.08,investor 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,145787.25561629023,389262.831350972,,117220.33328228004,715.5332832215155,161206.60350193075,90926.62975498027,141115.89193813255,3738.020388324723,34640.73356552335,164921.6410348056,121778.94581787828,4886.128829266984,0.026000000000000002,,0.08600000000000001,13.976,0.063,0.11,0.07100000000000001,2.676,0.289,0.061,0.083,2.047,0.155,0.062,investor 8
1.0,145992.39791672135,389901.6758645586,,117310.93565784239,715.9640500318222,161228.82068405187,90902.53615333233,141278.76942643285,3743.554189449894,34658.85151684216,164973.5680743468,121872.41345276654,4892.040589675743,0.026000000000000002,,0.08600000000000001,13.968,0.063,0.111,0.07100000000000001,2.672,0.289,0.061,0.083,2.045,0.155,0.062,investor 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
