Time,Home Value,Equity,HEP Expectation
0.0,151954.93284332423,-32637.873328181886,2391.3961122369697
30.0,149901.0208388216,-34691.78533268452,753.8856791877814
60.0,149068.82729861318,-35523.97887289294,90.40759374883639
90.0,151334.86510326777,-33257.941068238346,1897.038325090398
120.0,150828.20742091179,-33764.598750594334,1493.09831255645
150.0,153118.42370543885,-31474.38246606727,3319.005679391472
180.0,153664.79839993565,-30928.00777157047,3754.6106423261963
210.0,154151.60134405788,-30441.204827448237,4142.721183620902
240.0,155566.60513160893,-29026.20103989719,5270.852992500457
270.0,157533.17051825655,-27059.63565324957,6838.7250974637545
300.0,158034.16865059783,-26558.63752090829,7238.152953598052
330.0,160079.55115054257,-24513.255020963552,8868.863118343805
360.0,159919.95030729062,-24672.855864215497,8741.619085797349
390.0,161210.94555649866,-23381.860615007463,9770.883331276547
420.0,163126.27313055683,-21466.53304094929,11297.905364524056
450.0,164603.8959044095,-19988.910267096624,12475.961047041365
480.0,165785.22407345148,-18807.58209805464,13417.791659755272
510.0,165064.2576253427,-19528.548546163423,12842.990948688575
540.0,167799.07226486926,-16793.73390663686,15023.360650439676
570.0,168101.85964522243,-16490.94652628369,15264.762177494882
600.0,168582.9288314154,-16009.877340090723,15648.301399079126
630.0,169533.24893737747,-15059.557234128646,16405.957561971158
660.0,169830.60930159423,-14762.196869911888,16643.032323554307
690.0,176615.0456740265,-7977.760497479612,22052.020302524026
720.0,177103.27035066942,-7489.535820836696,22441.26434020538
750.0,180610.17137988698,-3982.6347916191444,25237.19085040919
780.0,180286.63526993289,-4306.170901573234,24979.247104836573
810.0,179402.9766972973,-5189.829474208818,24274.73779344836
840.0,180309.20470205822,-4283.6014694478945,24997.240904226335
870.0,183113.575448117,-1479.2307233891333,27233.065196962376
900.0,180966.77370463376,-3626.0324668723624,25521.497104008336
930.0,181839.4369721749,-2753.3691993312095,26217.24025269472
960.0,181204.81742448965,-3387.9887470164686,25711.280830833686
990.0,181694.90282513655,-2897.903346369567,26102.008357078772
1020.0,179622.52154606197,-4970.284625444154,24449.773033315592
1050.0,180272.9683650377,-4319.837806468422,24968.350971358457
1080.0,179361.43919024686,-5231.366981259256,24241.621427699076
1110.0,180321.43933694396,-4271.366834562155,25006.99514015562
1140.0,183051.93584326928,-1540.870328236837,27183.922149058733
1170.0,181718.19815000135,-2874.6080215047696,26120.580884735158
1200.0,183002.58218173755,-1590.223989768565,27144.574243457017
1230.0,183353.8924542779,-1238.9137172282208,27424.66133348865
1260.0,182260.14661459278,-2332.659556913335,26552.65697319366
1290.0,182358.61457620029,-2234.191595305834,26631.161950086473
1320.0,186680.83268596546,2088.026514459343,30077.111549260557
1350.0,190204.56119570945,5611.755024203332,32886.45400662448
1380.0,190570.43745590653,5977.631284400413,33178.15403659866
1410.0,191630.9308250267,7038.124653520586,34023.64739381494
1440.0,196565.29297357067,11972.486802064552,37957.63749707668
1470.0,194740.5632343033,10147.757062797173,36502.84587066079
1500.0,196222.56796099752,11629.7617894914,37684.39512713818
1530.0,196091.2032577306,11498.39708622449,37579.6627570744
1560.0,196593.3468762825,12000.540704776387,37980.00386831249
1590.0,199192.26048374185,14599.454312235728,40052.024547620385
1620.0,198624.1726657165,14031.366494210379,39599.1084894517
1650.0,201608.79025876833,17015.984087262215,41978.637133605116
1680.0,201413.4500285677,16820.643857061572,41822.89936867334
1710.0,201384.02388173805,16791.217710231926,41799.43895638093
1740.0,202171.24909383705,17578.442922330927,42427.06540539407
