Time,Home Value,Equity,HEP Expectation
0,192852.7833,8734.663188,35303.17341
1,192586.5997,8468.479513,35090.9547
2,192305.1171,8186.996927,34866.53873
3,192165.8807,8047.760562,34755.53056
4,192609.5095,8491.389346,35109.21989
5,192594.4376,8476.317403,35097.20357
6,193078.5134,8960.393214,35483.13987
7,193349.4677,9231.347522,35699.16203
8,193310.258,9192.137849,35667.90156
9,193938.0165,9819.896321,36168.39089
10,193721.0586,9602.938422,35995.41814
11,194106.3698,9988.249591,36302.61292
12,194511.1716,10393.05143,36625.34692
13,194706.1472,10588.02708,36780.79402
14,194655.8265,10537.70632,36740.67508
15,194815.8465,10697.72638,36868.25334
16,195105.097,10986.9768,37098.86233
17,195030.077,10911.95688,37039.05164
18,195392.9864,11274.86621,37328.38624
19,195533.5779,11415.45771,37440.47481
20,195449.1778,11331.05765,37373.18566
21,195201.0284,11082.90826,37175.34505
22,195505.7633,11387.64316,37418.29926
23,195395.7661,11277.64594,37330.60242
24,195439.8925,11321.77233,37365.78281
25,195650.7587,11532.63856,37533.8989
26,195306.0848,11187.96468,37259.10277
27,195355.8738,11237.75368,37298.79775
28,195088.4358,10970.31563,37085.57898
29,195219.7599,11101.63977,37190.27901
30,195147.2415,11029.12137,37132.46269
60,191470.1142,7351.994053,34200.82086
90,193940.4827,9822.362512,36170.3571
120,194449.8403,10331.72013,36576.44968
150,194387.4663,10269.34612,36526.72111
180,195397.5736,11279.45347,37332.0435
210,196304.8034,12186.68326,38055.3453
240,198489.9931,14371.87291,39797.51869
270,195584.1179,11465.99779,37480.7686
300,194159.4617,10041.3415,36344.9412
330,198739.4305,14621.31039,39996.38626
360,199008.1444,14890.02425,40210.62219
390,198083.4188,13965.2986,39473.37157
420,201170.3841,17052.26397,41934.49842
450,204493.0861,20374.96594,44583.56963
480,203807.6831,19689.56291,44037.12236
510,205741.617,21623.49683,45578.97856
540,206888.4874,22770.36723,46493.33723
570,212531.2635,28413.14334,50992.1204
600,211687.3242,27569.20408,50319.27787
630,213563.5617,29445.44155,51815.13477
660,216137.177,32019.05682,53866.98599
690,213292.9075,29174.78735,51599.35187
720,212141.3732,28023.25304,50681.27483
750,212334.6396,28216.5194,50835.35917
780,211158.5185,27040.39833,49897.67999
810,210405.7356,26287.61545,49297.51319
840,211304.9666,27186.84646,50014.43784
870,215420.5709,31302.45072,53295.66163
900,214181.8001,30063.67996,52308.03409
930,213475.8399,29357.71971,51745.19729
960,212023.7825,27905.66234,50587.52398
990,214366.4948,30248.37464,52455.28454
1020,214081.3611,29963.24092,52227.95765
1050,212461.4922,28343.37202,50936.49422
1080,215241.4487,31123.32849,53152.85389
1110,214242.8139,30124.6937,52356.67816
1140,212934.8079,28816.6877,51313.85185
1170,215466.5805,31348.46029,53332.34341
1200,216245.6269,32127.50672,53953.44921
1230,218261.4081,34143.28794,55560.55933
1260,218469.9898,34351.86961,55726.85402
1290,219146.1182,35027.99803,56265.90698
1320,220351.67,36233.54987,57227.05025
1350,221253.9037,37135.7835,57946.36879
1380,224779.6012,40661.48104,60757.28109
1410,223626.3508,39508.23059,59837.83584
1440,226444.0712,42325.95106,62084.30339
1470,228279.6439,44161.5237,63547.73966
1500,228835.0877,44716.9675,63990.5751
1530,229172.9658,45054.84566,64259.95325
1560,230813.8708,46695.75061,65568.18796
1590,231478.609,47360.48879,66098.15989
1620,231094.6712,46976.55108,65792.06011
1650,233402.2939,49284.17377,67631.84498
1680,233264.4746,49146.35448,67521.9666
1710,233173.437,49055.31688,67449.38559
1740,231751.5431,47633.42296,66315.76052
1770,238928.989,54810.86879,72038.08086
1800,241982.8032,57864.68299,74472.77748
Time,Home Value,Equity,HEP Expectation
0,419080.6337,78493.96381,115003.2996
1,418967.3968,78380.72699,114913.02
2,418848.3968,78261.72698,114818.1455
3,418979.8655,78393.19566,114922.9608
4,418877.2947,78290.62485,114841.1847
5,419346.0276,78759.35775,115214.8887
6,419809.9247,79223.25489,115584.7373
7,420399.9926,79813.32274,116055.1772
8,420177.9204,79591.25058,115878.127
9,420230.4094,79643.7396,115919.9746
10,420967.7565,80381.08663,116507.835
11,421655.3351,81068.66524,117056.0168
12,422709.8927,82123.22288,117896.7778
13,422127.9122,81541.24238,117432.7856
14,422879.9298,82293.25996,118032.3423
15,424046.5916,83459.92173,118962.4799
16,423985.4792,83398.80937,118913.7572
17,424552.9227,83966.25284,119366.1595
18,423821.9837,83235.31388,118783.4081
19,422696.2154,82109.5456,117885.8734
20,422420.2944,81833.62456,117665.8914
21,421952.6583,81365.98846,117293.0619
22,420788.6795,80202.00969,116365.0634
23,421087.0995,80500.42966,116602.9829
24,420297.1533,79710.48348,115973.1871
25,421475.5476,80888.87778,116912.6787
26,422528.0361,81941.36626,117751.79
27,422864.9687,82278.29888,118020.4143
28,422638.5498,82051.87998,117839.8987
29,424756.7805,84170.11061,119528.688
30,425452.2419,84865.57209,120083.1546
60,426130.406,85543.73611,120623.8304
90,428619.9256,88033.25574,122608.6352
120,427345.5875,86758.91763,121592.6511
150,422843.0489,82256.37907,118002.9385
180,417837.5154,77250.84553,114012.206
210,460022.0934,119435.4235,147644.4582
240,462089.0628,121502.393,149292.3788
270,467563.0195,126976.3496,153656.5683
300,464262.7547,123676.0848,151025.3855
330,465875.7659,125289.096,152311.3815
360,465268.3758,124681.706,151827.1312
390,466014.5318,125427.8619,152422.0146
420,460116.5347,119529.8648,147719.7528
450,452844.3739,112257.704,141921.9197
480,452782.3024,112195.6326,141872.4323
510,453137.2605,112550.5907,142155.4277
540,453658.9609,113072.291,142571.3607
570,446775.7749,106189.105,137083.6432
600,447363.512,106776.8422,137552.2249
630,445960.27,105373.6002,136433.4704
660,445530.2714,104943.6015,136090.6479
690,448920.5181,108333.8482,138793.57
720,444461.3314,103874.6616,135238.4203
750,453882.6375,113295.9677,142749.69
780,483505.7652,142919.0954,166367.1481
810,511927.1985,171340.5287,189026.5383
840,510700.3292,170113.6594,188048.3994
870,581147.7118,240561.042,244213.5729
900,582676.6414,242089.9715,245432.5336
930,585190.973,244604.3031,247437.1201
960,580750.053,240163.3831,243896.5337
990,582258.9409,241672.271,245099.516
1020,582293.2718,241706.602,245126.8868
1050,584906.9823,244320.3124,247210.7045
1080,592450.9871,251864.3172,253225.2691
1110,596589.4409,256002.7711,256524.7101
1140,601037.6669,260450.9971,260071.1213
1170,598536.2359,257949.566,258076.8199
1200,601213.3777,260626.7078,260211.2092
1230,608556.0181,267969.3482,266065.2332
1260,602188.1582,261601.4884,260988.3667
1290,598642.0188,258055.349,258161.1569
1320,599312.9485,258726.2787,258696.0651
1350,609075.5639,268488.8941,266479.4485
1380,613287.702,272701.0322,269837.6352
1410,612341.3056,271754.6358,269083.1073
1440,619216.3761,278629.7062,274564.3546
1470,620119.0939,279532.4241,275284.0592
1500,621406.519,280819.8491,276310.477
1530,618586.7243,278000.0544,274062.3558
1560,617018.2199,276431.5501,272811.8435
1590,614696.5747,274109.9049,270960.8789
1620,615470.8663,274884.1964,271578.1938
1650,654455.6781,313869.0083,302659.3872
1680,654120.12,313533.4502,302391.8587
1710,662859.5102,322272.8403,309359.4613
1740,651351.1814,310764.5116,300184.2832
1770,656571.5936,315984.9237,304346.3307
1800,681115.0542,340528.3844,323913.9523
Time,Home Value,Equity,HEP Expectation
0,195842.7473,85514.02672,85158.99268
1,195558.7044,85229.98382,84932.53546
2,195747.4455,85418.72486,85083.01192
3,195530.3011,85201.58049,84909.8905
4,195417.3485,85088.62789,84819.83744
5,195497.9579,85169.23727,84884.10441
6,195648.7335,85320.0129,85004.31241
7,195261.6811,84932.96046,84695.72938
8,195324.8483,84996.12767,84746.09033
9,194563.4075,84234.68686,84139.02085
10,194365.9489,84037.2283,83981.59422
11,194189.4974,83860.77673,83840.91571
12,194524.5069,84195.78623,84108.00678
13,194626.1327,84297.41203,84189.02939
14,193966.328,83637.60738,83662.99079
15,194343.6025,84014.88184,83963.77819
16,194832.2178,84503.49719,84353.3337
17,194452.5466,84123.82598,84050.63545
