Time,Home Value,Equity,HEP Expectation
0.0,341668.6238899989,48578.56340987759,83842.1762300328
1.0,341641.1550338072,48551.09455368592,83820.27629542063
2.0,341075.33869860065,47985.27821847936,83369.17120909791
3.0,341777.7708294257,48687.71034930443,83929.19517322759
4.0,341149.11886137055,48059.058381249255,83427.99348873938
5.0,340743.3669561424,47653.30647602113,83104.50203604613
6.0,341570.7810419804,48480.72056185908,83764.16963380165
7.0,341851.64918810246,48761.588707981165,83988.09574094639
8.0,341796.3996105029,48706.33913038159,83944.04723276178
9.0,341987.73972793703,48897.679247815744,84096.59585114093
10.0,341185.6275330303,48095.567052909,83457.10054425514
11.0,340854.48318858363,47764.42270846234,83193.09102598566
12.0,340780.06781928067,47690.007339159376,83133.76231893997
12.999999999999998,340459.539632914,47369.479152792715,82878.2166830456
14.0,341231.0672611543,48141.00678103301,83493.32801101853
15.0,341337.8462117341,48247.78573161282,83578.45904156957
16.0,339621.7463565563,46531.68587643502,82210.27412865828
17.0,339149.3696944452,46059.309214323934,81833.66514500167
18.0,339395.5658958396,46305.505415718304,82029.94855318885
19.0,339789.26527941605,46699.20479929476,82343.83096230777
20.0,339488.5141906444,46398.453710523085,82104.05289755382
21.0,339910.0492467156,46819.988766594324,82440.1276907774
22.0,340309.92507074407,47219.864590622776,82758.93435451723
23.0,340005.59081107,46915.530330948706,82516.29955601659
24.0,341462.461839554,48372.401359432726,83677.81061565292
25.0,342184.6315162261,49094.57103610481,84253.57061773182
25.999999999999996,341915.39714655373,48825.33666643244,84038.91970361896
27.0,340591.8603285489,47501.79984842759,82983.71123156346
28.0,340542.3336118522,47452.27313173091,82944.22535528067
29.000000000000004,340029.4672397498,46939.4067596285,82535.33537691904
30.0,340874.4690345697,47784.4085544484,83209.0250247372
60.0,344394.00991184736,51303.94943172607,86015.0288328122
90.0,336818.2072771301,43728.14679700881,79975.1128939231
120.0,337176.19640876126,44086.13592863997,80260.52479895072
150.0,335150.4071622698,42060.34668214852,78645.43563299984
180.0,337776.7979050949,44686.73742497363,80739.36284760873
210.0,344198.42550026346,51108.36502014217,85859.09639081452
240.0,347222.08778196655,54132.02730184526,88269.7539659452
270.0,347774.8033278086,54684.74284768733,88710.414262414
300.0,345408.39053138444,52318.330051263154,86823.75814737553
330.0,351375.27863148047,58285.21815135918,91580.94418812344
360.0,347316.00831363664,54225.947833515354,88344.63343991984
390.0,345283.4597309955,52193.39925087424,86724.15529749807
420.0,341786.92333683587,48696.86285671458,83936.49213937791
450.0,343813.92473639024,50723.86425626895,85552.5477115247
480.0,341620.16156400123,48530.10108387994,83803.53895430874
510.0,347363.3389068473,54273.278426726,88382.3684256519
540.0,346163.59504672396,53073.53456660267,87425.85564242076
570.0,344623.34276031266,51533.28228019137,86197.86769405822
600.0,342654.0169408555,49563.95646073419,84627.7947949443
630.0,345775.0225459927,52684.9620658714,87116.06071325703
660.0,341628.83039572777,48538.76991560648,83810.45030317051
690.0,350884.1901346376,57794.12965451629,91189.41692923024
720.0,349514.78354583366,56424.72306571237,90097.63813279844
750.0,347196.9144236487,54106.853943527385,88249.68414952172
780.0,342567.88759732293,49477.82711720164,84559.12695605103
810.0,346121.54720398306,53031.48672386177,87392.3324043149
840.0,349676.21263655013,56586.15215642884,90226.33976152759
870.0,347527.4048787719,54437.34439865063,88513.17234526773
900.0,350185.39839467366,57095.337914552365,90632.2953182698
930.0,350493.57170250313,57403.51122238184,90877.99085228088
960.0,358002.67161283264,64912.61113271135,96864.72709950924
990.0,359495.1628238555,66405.10234373424,98054.63685412698
1020.0,360726.14678608446,67636.08630596317,99036.05625118353
1050.0,365139.5711724376,72049.51069231628,102554.72134602876
1080.0,366793.06291966344,73703.00243954215,103872.99105822062
1110.0,365128.02283762896,72037.96235750767,102545.51427255527
1140.0,363629.9603867544,70539.89990663313,101351.16276806603
1170.0,361274.9515861787,68184.89110605739,99473.5986502209
1200.0,358320.03276374517,65229.97228362388,97117.74777153632
1230.0,356055.7988256993,62965.73834557802,95312.55519839488
1260.0,358279.614626953,65189.55414683174,97085.52383957797
1290.0,383868.78752090794,90778.72704078665,117486.85432262265
1320.0,386719.99370180024,93629.93322167895,119760.01882906222
1350.0,386594.36188081326,93504.30140069197,119659.85708058508
1380.0,388016.1218379872,94926.06135786592,120793.37534137722
1410.0,392054.47325268184,98964.41277256055,124013.00819779203
1440.0,397006.3205214163,103916.26004129503,127960.93856074956
1470.0,397482.20306475874,104392.14258463745,128340.34265786805
1500.0,403839.356043058,110749.29556293669,133408.6728996866
1530.0,412760.19505634246,119670.13457622117,140520.93813976587
1560.0,415292.4959203197,122202.4354401984,142539.85086596434
1590.0,419408.24664389604,126318.18616377475,145821.19141751254
1620.0,425241.7832574279,132151.72277730663,150472.0610970761
1650.0,431301.97574397473,138211.91526385344,155303.63538129666
1680.0,435119.76085521723,142029.70037509594,158347.4186286288
1710.0,430931.1787308696,137841.11825074832,155008.01221137895
1740.0,428153.08356873237,135063.02308861108,152793.1365000386
1770.0,430922.01376128045,137831.95328115916,155000.70530957988
1800.0,429078.03181471466,135987.97133459337,153530.56458824596
